Name,Version,License,Source
momentjs-rails,2.11.1,MIT,https://github.com/derekprior/momentjs-rails
monetize,1.7.0,MIT,https://github.com/RubyMoney/monetize
money,6.9.0,MIT,https://rubymoney.github.io/money
money-currencylayer-bank,0.5.5,MIT,http://github.com/phlegx/money-currencylayer-bank
mono_logger,1.1.0,MIT,http://github.com/steveklabnik/mono_logger
multi_json,1.12.1,MIT,http://github.com/intridea/multi_json
multi_json,1.11.3,MIT,http://github.com/intridea/multi_json
multi_json,1.11.2,MIT,http://github.com/intridea/multi_json
multi_xml,0.6.0,MIT,https://github.com/sferik/multi_xml
multi_xml,0.5.5,MIT,https://github.com/sferik/multi_xml
multipart-post,2.0.0,MIT,https://github.com/nicksieger/multipart-post
multiset,0.5.1,MIT,http://maraigue.hhiro.net/multiset/
mysql2,0.3.20,MIT,http://github.com/brianmario/mysql2
mysql2,0.4.6,MIT,http://github.com/brianmario/mysql2
mysql2,0.4.4,MIT,http://github.com/brianmario/mysql2
mysql2,0.4.3,MIT,http://github.com/brianmario/mysql2
mysql2,0.4.5,MIT,http://github.com/brianmario/mysql2
mysql2,0.3.21,MIT,http://github.com/brianmario/mysql2
netrc,0.11.0,MIT,https://github.com/geemus/netrc
nexmo,4.3.1,MIT,https://github.com/Nexmo/nexmo-ruby
nio4r,2.1.0,MIT,https://github.com/socketry/nio4r
nio4r,1.2.1,MIT,https://github.com/celluloid/nio4r
nio4r,2.0.0,MIT,https://github.com/socketry/nio4r
nokogiri,1.7.1,MIT,http://nokogiri.org
nokogiri,1.8.0,MIT,http://nokogiri.org
nokogiri,1.6.7.2,MIT,http://nokogiri.org
nokogiri,1.6.8,MIT,http://nokogiri.org
nokogiri,1.6.8.1,MIT,http://nokogiri.org
nokogiri,1.7.2,MIT,http://nokogiri.org
nori,2.4.0,MIT,https://github.com/savonrb/nori
notifier,0.3.23,MIT,TODO: Put your notifier_gem's website or public repo URL here.
notifier,0.3.21,MIT,TODO: Put your notifier_gem's website or public repo URL here.
notifier,0.2.5,MIT,TODO: Put your notifier_gem's website or public repo URL here.
oauth2,1.1.0,MIT,http://github.com/intridea/oauth2
oauth2,1.4.0,MIT,http://github.com/intridea/oauth2
oj,3.0.11,MIT,http://www.ohler.com/oj
oj,2.14.6,MIT,http://www.ohler.com/oj
oj,3.3.2,MIT,http://www.ohler.com/oj
oj,3.0.8,MIT,http://www.ohler.com/oj
omniauth,1.3.1,MIT,http://github.com/intridea/omniauth
omniauth,1.4.2,MIT,https://github.com/omniauth/omniauth
omniauth-facebook,4.0.0,MIT,https://github.com/mkdynamic/omniauth-facebook
omniauth-google-oauth2,0.4.0,MIT,https://github.com/zquestz/omniauth-google-oauth2
omniauth-oauth2,1.4.0,MIT,https://github.com/intridea/omniauth-oauth2
open-weather,0.11.0,MIT,https://github.com/coderhs/ruby_open_weather_map
orm_adapter,0.5.0,MIT,http://github.com/ianwhite/orm_adapter
ox,2.5.0,MIT,http://www.ohler.com/ox
paperclip,4.3.1,MIT,https://github.com/thoughtbot/paperclip
paperclip,5.0.0.beta2,MIT,https://github.com/thoughtbot/paperclip
parallel,1.3.4,MIT,https://github.com/grosser/parallel
parallel,1.11.2,MIT,https://github.com/grosser/parallel
parser,2.4.0.0,MIT,https://github.com/whitequark/parser
payoneer-ruby,0.3.3,MIT,https://github.com/teespring/payoneer-ruby
phantomjs,2.1.1.0,MIT,https://github.com/colszowka/phantomjs-gem
phonelib,0.6.5,MIT,https://github.com/daddyz/phonelib
phraseapp-in-context-editor-ruby,1.0.5,MIT,https://phraseapp.com
phraseapp-ruby,1.3.3,MIT,https://github.com/phrase/phraseapp-ruby
phraseapp-ruby,1.2.7,MIT,https://github.com/phrase/phraseapp-ruby
pikaday-gem,1.2.0,MIT,http://github.com/ets-berkeley-edu/pikaday-gem
pkg-config,1.1.7,LGPLv2+,https://github.com/ruby-gnome2/pkg-config
platform-api,0.8.0,MIT,https://github.com/heroku/platform-api
polyglot,0.3.5,MIT,http://github.com/cjheath/polyglot
power_assert,1.0.1,2-clause BSDL,https://github.com/k-tsj/power_assert
powerpack,0.1.1,MIT,https://github.com/bbatsov/powerpack
pry,0.10.4,MIT,http://pryrepl.org
pry,0.10.3,MIT,http://pryrepl.org
pry-rails,0.3.6,MIT,https://github.com/rweng/pry-rails
pry-rails,0.3.4,MIT,https://github.com/rweng/pry-rails
public_suffix,2.0.5,MIT,https://simonecarletti.com/code/publicsuffix-ruby
puma,3.9.1,BSD-3-Clause,http://puma.io
puma,3.4.0,BSD-3-Clause,http://puma.io
puma,3.1.0,BSD-3-Clause,http://puma.io
puma,3.6.2,BSD-3-Clause,http://puma.io
puma,3.6.0,BSD-3-Clause,http://puma.io
puma_worker_killer,0.0.7,MIT,https://github.com/schneems/puma_worker_killer
pusher,0.14.6,MIT,http://github.com/pusher/pusher-http-ruby
pusher-signature,0.1.8,MIT,http://github.com/pusher/pusher-signature
quiet_assets,1.1.0,MIT,https://github.com/evrone/quiet_assets
rack,1.4.7,MIT,http://rack.github.com/
rack,2.0.3,MIT,http://rack.github.io/
rack,2.0.0.alpha,MIT,http://rack.github.io/
rack,2.0.1,MIT,http://rack.github.io/
rack,1.5.5,MIT,http://rack.github.com/
rack,2.0.0.rc1,MIT,http://rack.github.io/
